97,22,6,10,226,5
98,22,18,5,128,4
99,22,8,5,118,2
100,23,13,14,321,3
101,23,15,8,191,1
102,23,9,5,119,2
103,23,7,10,227,5
104,23,19,5,129,4
105,23,18,11,260,6
106,24,13,13,299,3
107,24,15,7,169,1
108,24,9,4,97,2
109,24,7,9,205,5
110,24,19,4,107,4
111,24,18,10,238,6
112,25,13,13,299,3
113,25,15,7,169,1
114,25,9,4,97,2
115,25,7,9,205,5
116,25,18,10,238,6
117,25,19,4,107,4
118,26,14,8,190,1
119,26,8,5,118,2
120,26,6,10,226,5
121,26,12,14,320,3
122,26,17,11,259,6
123,26,18,5,128,4
124,27,11,15,341,3
125,27,13,9,211,1
126,27,7,6,139,2
127,27,5,11,247,5
128,27,16,12,280,6
129,27,17,6,149,4
130,28,12,14,320,3
131,28,14,8,190,1
132,28,6,10,226,5
133,28,8,5,118,2
134,28,17,11,259,6
135,28,18,5,128,4
136,29,14,11,256,3
137,29,8,8,184,5
138,29,11,4,99,2
139,29,15,6,147,1
140,29,18,4,106,4
141,29,18,8,194,6
142,30,15,9,213,3
143,30,16,5,126,1
144,30,12,4,100,2
145,30,9,7,163,5
146,30,18,7,172,6
147,30,19,3,85,4
148,31,16,5,126,1
149,31,12,4,100,2
150,31,15,9,213,3
151,31,19,3,85,4
152,31,9,7,163,5
153,31,18,7,172,6
154,32,13,10,233,3
155,32,16,5,126,1
156,32,18,4,106,4
157,32,16,8,192,6
158,32,7,5,117,5
159,32,10,4,98,2
160,33,11,12,275,3
161,33,14,9,212,6
162,33,16,4,104,1
163,33,18,5,128,4
164,33,6,4,94,5
165,33,9,4,97,2
166,34,10,12,274,3
167,34,4,4,92,5
168,34,11,13,297,6
169,34,5,5,115,2
170,34,16,4,104,1
171,34,17,5,127,4
172,35,4,4,92,5
173,35,10,12,274,3
174,35,16,4,104,1
175,35,18,4,106,4
176,35,9,14,317,6
177,35,3,6,135,2
178,36,4,4,92,5
179,36,3,4,91,2
180,36,16,4,104,1
181,36,10,12,274,3
182,36,9,11,251,6
183,36,16,3,82,4
184,37,10,12,274,3
185,37,16,4,104,1
186,37,15,3,81,4
187,37,4,4,92,5
188,37,5,4,93,2
189,37,11,11,253,6
190,38,10,12,274,3
191,38,12,10,232,6
192,38,16,4,104,1
193,38,12,3,78,4
194,38,4,4,92,5
195,38,6,6,138,2
196,39,14,7,168,6
197,39,4,4,92,5
198,39,7,8,183,2
199,39,16,4,104,1
200,39,9,3,75,4
201,39,10,13,296,3
202,40,17,4,105,1
203,40,17,6,149,6
204,40,10,13,296,3
205,40,8,11,250,2
206,40,3,4,91,5
207,40,5,3,71,4
208,41,10,13,296,3
209,41,9,14,317,2
210,41,3,4,91,5
211,41,2,3,68,4
212,41,17,4,105,1
213,41,19,4,107,6
214,42,10,13,296,3
215,42,11,12,275,2
216,42,3,4,91,5
217,42,4,5,114,4
218,42,17,4,105,1
219,42,16,3,82,6
220,43,10,13,296,3
221,43,13,10,233,2
222,43,17,4,105,1
223,43,3,4,91,5
224,43,5,6,137,4
225,43,12,3,78,6
226,44,10,13,296,3
227,44,8,9,206,4
228,44,3,4,91,5
229,44,7,3,73,6
230,44,17,4,105,1
231,44,15,8,191,2
232,45,17,6,149,2
233,45,17,4,105,1
234,45,10,13,296,3
235,45,11,11,253,4
236,45,4,4,92,5
237,45,6,3,72,6
238,46,10,12,274,3
239,46,11,13,297,4
240,46,17,4,105,1
241,46,19,5,129,2
242,46,4,4,92,5
243,46,2,3,68,6
244,47,9,11,251,4
245,47,10,12,274,3
246,47,3,3,69,5
247,47,1,4,89,6
248,47,18,4,106,1
249,47,20,5,130,2
250,48,10,12,274,3
251,48,11,11,253,4
252,48,2,3,68,5
253,48,1,4,89,6
254,48,19,4,107,1
255,48,20,5,130,2
256,49,10,12,274,3
257,49,12,12,276,4
258,49,1,4,89,6
259,49,0,3,66,5
260,49,20,5,130,2
261,49,21,4,109,1
262,50,11,12,275,3
263,50,13,12,277,4
264,50,0,4,88,6
265,50,0,3,66,5
266,50,21,5,131,2
267,50,21,4,109,1
268,51,11,12,275,3
269,51,14,12,278,4
270,52,11,12,275,3
271,52,14,12,278,4
272,53,13,12,277,3
273,53,16,12,280,4
274,54,16,12,280,3
275,54,20,12,284,4
276,55,19,12,283,3
277,55,21,12,285,4
278,56,0,12,264,5
279,57,3,12,267,5
280,57,0,12,264,6
281,58,6,12,270,5
282,58,2,12,266,6
283,59,4,12,268,6
284,59,8,12,272,5
285,60,9,12,273,6
286,60,12,12,276,5
287,61,12,12,276,5
288,61,9,12,273,6
